open,high,low,close,volume,vwap,timestamp,transactions,otc
279.15,279.16,276.97,277.33,75258390.0,277.7968,2019-03-06 05:00:00,290924,
276.83,276.99,274.07,275.01,95131703.0,275.3166,2019-03-07 05:00:00,435047,
272.94,274.65,272.42,274.46,86091282.0,273.5165,2019-03-08 05:00:00,416187,
275.26,278.62,275.23,278.44,65367331.0,277.6098,2019-03-11 04:00:00,291878,
279.06,280.07,278.85,279.49,79963295.0,279.3411,2019-03-12 04:00:00,279075,
280.48,282.38,280.3,281.34,80938255.0,281.165,2019-03-13 04:00:00,300653,
281.37,281.84,280.6662,281.16,67792728.0,281.2881,2019-03-14 04:00:00,249026,
280.54,282.21,280.33,281.31,81676972.0,281.1895,2019-03-15 04:00:00,308439,
281.55,282.66,281.3,282.33,62543177.0,282.0565,2019-03-18 04:00:00,268447,
283.51,284.36,281.41,282.4,90623417.0,282.8863,2019-03-19 04:00:00,366235,
282.16,283.5,280.32,281.55,84863595.0,281.8701,2019-03-20 04:00:00,449937,
280.64,285.18,280.59,284.73,79726155.0,283.7442,2019-03-21 04:00:00,378842,
283.22,283.8034,279.18,279.25,122792033.0,280.8048,2019-03-22 04:00:00,615385,
278.87,280.1853,277.64,279.04,85878123.0,278.8921,2019-03-25 04:00:00,401552,
280.99,282.18,279.56,281.12,68303718.0,280.7384,2019-03-26 04:00:00,316321,
281.11,281.76,277.93,279.65,72363592.0,279.7836,2019-03-27 04:00:00,390636,
280.35,281.21,279.07,280.71,56384376.0,280.3236,2019-03-28 04:00:00,301909,
282.39,282.84,281.14,282.48,82550724.0,282.1313,2019-03-29 04:00:00,330847,
284.7,286.16,284.4,285.83,77991630.0,285.1877,2019-04-01 04:00:00,326980,
286.04,286.23,285.09,285.97,40405636.0,285.7974,2019-04-02 04:00:00,211561,
287.32,287.76,285.75,286.42,68464013.0,286.7743,2019-04-03 04:00:00,291418,
286.78,287.459,286.01,287.18,49207878.0,286.8856,2019-04-04 04:00:00,262143,
287.92,288.63,287.6,288.57,58854815.0,288.2264,2019-04-05 04:00:00,253410,
288.1,288.91,287.37,288.79,53862823.0,288.326,2019-04-08 04:00:00,233823,
287.72,288.08,286.7,287.31,66335944.0,287.4867,2019-04-09 04:00:00,271839,
287.77,288.3899,287.31,288.29,52815384.0,287.8844,2019-04-10 04:00:00,204503,
288.83,288.84,287.578,288.21,55324850.0,288.1639,2019-04-11 04:00:00,205245,
290.0,290.47,289.26,290.16,69981966.0,289.7766,2019-04-12 04:00:00,232166,
290.24,290.35,289.075,289.97,49810824.0,289.7734,2019-04-15 04:00:00,199619,
290.95,291.01,289.5,290.16,52379164.0,290.28,2019-04-16 04:00:00,206469,
291.4,291.425,288.99,289.45,58543209.0,289.7784,2019-04-17 04:00:00,245038,
290.1,290.32,288.66,290.02,68869407.0,289.7965,2019-04-18 04:00:00,231291,
289.17,290.435,289.07,290.27,40347552.0,289.9981,2019-04-22 04:00:00,170763,
290.68,293.14,290.42,292.88,52434952.0,292.0944,2019-04-23 04:00:00,232021,
292.79,293.16,292.07,292.23,50538612.0,292.5811,2019-04-24 04:00:00,203854,
292.12,292.78,290.73,292.05,57986869.0,292.0521,2019-04-25 04:00:00,238260,
292.1,293.49,291.2401,293.41,51073746.0,292.6038,2019-04-26 04:00:00,220590,
293.51,294.45,293.41,293.87,57339798.0,293.8483,2019-04-29 04:00:00,186851,
293.49,294.34,291.92,294.02,81164193.0,293.5503,2019-04-30 04:00:00,254911,
294.72,294.95,291.8,291.81,71871007.0,293.4623,2019-05-01 04:00:00,337375,
291.68,292.7,289.52,291.18,65189435.0,291.1029,2019-05-02 04:00:00,342561,
292.82,294.34,292.56,294.03,56735902.0,293.4369,2019-05-03 04:00:00,249555,
289.25,293.31,288.9,292.82,107482970.0,291.9459,2019-05-06 04:00:00,390955,
290.15,290.81,285.81,287.93,144947244.0,288.2862,2019-05-07 04:00:00,618590,
287.53,289.43,286.87,287.53,91703926.0,288.1402,2019-05-08 04:00:00,455855,
285.23,287.33,283.3,286.66,103663370.0,285.5799,2019-05-09 04:00:00,526342,
285.62,288.94,282.3,288.1,112604663.0,285.8289,2019-05-10 04:00:00,602398,
282.42,283.49,279.93,280.86,127575404.0,281.5654,2019-05-13 04:00:00,670179,
281.99,285.1,281.85,283.4,77158133.0,283.6062,2019-05-14 04:00:00,390246,
281.59,285.77,281.36,285.06,74158328.0,284.2714,2019-05-15 04:00:00,364817,
285.84,289.21,285.76,287.7,76906534.0,287.7925,2019-05-16 04:00:00,352844,
285.14,288.6,285.13,285.84,100504132.0,286.6098,2019-05-17 04:00:00,401173,
284.06,285.43,283.12,283.95,63080669.0,284.2474,2019-05-20 04:00:00,344195,
285.83,286.93,285.55,286.51,47007250.0,286.2647,2019-05-21 04:00:00,256164,
285.45,286.69,285.1,285.63,49593913.0,285.7814,2019-05-22 04:00:00,260142,
283.16,283.21,280.57,282.14,98887909.0,281.9488,2019-05-23 04:00:00,466146,
283.74,284.2,282.09,282.78,55410763.0,283.0072,2019-05-24 04:00:00,267399,
283.09,284.15,280.13,280.15,70728784.0,281.9204,2019-05-28 04:00:00,340221,
278.91,279.36,276.71,278.27,105248213.0,278.2266,2019-05-29 04:00:00,466347,
279.11,280.04,277.805,279.03,62659323.0,278.9174,2019-05-30 04:00:00,286147,
276.2,277.12,275.24,275.27,87039677.0,275.9921,2019-05-31 04:00:00,396408,
275.31,276.5521,273.09,274.57,96821964.0,274.761,2019-06-03 04:00:00,492868,
